,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
196,DLTA,0.63,18,03 Agt 2020,31 Agt 2020,16269301000,3503500,2896,51--,202008
197,DMAS,2.73,18,03 Agt 2020,31 Agt 2020,267988185800,1155846400,51814,61--,202008
198,DMMX,-16.09,18,03 Agt 2020,31 Agt 2020,45022720100,200254900,15106,95--,202008
199,DMND,1.61,18,03 Agt 2020,31 Agt 2020,755290500,801200,949,51--,202008
200,DNAR,0.0,18,03 Agt 2020,31 Agt 2020,25428000,107500,81,81--,202008
201,DNET,-1.45,18,03 Agt 2020,31 Agt 2020,1191572000,348700,176,97--,202008
202,DOID,7.69,18,03 Agt 2020,31 Agt 2020,687518212000,2404474700,119514,21--,202008
203,DPNS,-7.5,18,03 Agt 2020,31 Agt 2020,55627200,233300,65,34--,202008
204,DPUM,-25.37,18,03 Agt 2020,31 Agt 2020,215207600,3828500,566,91--,202008
205,DSFI,-4.55,18,03 Agt 2020,31 Agt 2020,573208300,9110200,1143,14--,202008
206,DSNG,18.58,18,03 Agt 2020,31 Agt 2020,55093370800,131403800,14751,12--,202008
207,DSSA,-4.31,18,03 Agt 2020,31 Agt 2020,56270000,2800,10,21--,202008
208,DUCK,-9.84,18,03 Agt 2020,31 Agt 2020,116216361200,321770600,45610,94--,202008
209,DUTI,2.9,18,03 Agt 2020,31 Agt 2020,335853000,85700,289,61--,202008
210,DVLA,10.34,18,03 Agt 2020,31 Agt 2020,3721046000,1414600,1472,53--,202008
211,DWGL,-9.73,18,03 Agt 2020,31 Agt 2020,42590000,206400,243,91--,202008
212,DYAN,0.0,18,03 Agt 2020,31 Agt 2020,2016054100,40316800,450,99--,202008
213,EAST,-3.64,18,03 Agt 2020,31 Agt 2020,1048530100,19178800,1504,94--,202008
214,ECII,0.71,18,03 Agt 2020,31 Agt 2020,173816000,242900,52,93--,202008
215,EKAD,3.64,18,03 Agt 2020,31 Agt 2020,15612789000,12354100,8795,34--,202008
216,ELSA,7.02,18,03 Agt 2020,31 Agt 2020,338895648400,1376974800,57505,22--,202008
217,ELTY,0.0,18,03 Agt 2020,31 Agt 2020,6005000,120100,30,61--,202008
218,EMDE,0.0,18,03 Agt 2020,31 Agt 2020,23830100,119600,27,61--,202008
219,EMTK,21.11,18,03 Agt 2020,31 Agt 2020,29574354500,6425800,257,95--,202008
220,ENRG,0.0,18,03 Agt 2020,31 Agt 2020,6353992600,126906200,1987,22--,202008
221,ENVY,-12.87,18,03 Agt 2020,31 Agt 2020,1286845208400,13569991200,102127,97--,202008
222,EPAC,26.32,18,03 Agt 2020,31 Agt 2020,23803661800,90597300,13047,35--,202008
223,EPMT,3.05,18,03 Agt 2020,31 Agt 2020,738730000,398100,205,91--,202008
224,ERAA,17.01,18,03 Agt 2020,31 Agt 2020,797106468000,488513500,87814,93--,202008
225,ERTX,16.67,18,03 Agt 2020,31 Agt 2020,473759700,3670700,732,43--,202008
226,ESIP,-14.96,18,03 Agt 2020,31 Agt 2020,45651863200,198403800,29758,35--,202008
227,ESSA,1.29,18,03 Agt 2020,31 Agt 2020,11066403800,66823600,4804,34--,202008
228,ESTA,3.96,18,03 Agt 2020,31 Agt 2020,201171900,1982600,393,94--,202008
229,ESTI,0.0,18,03 Agt 2020,31 Agt 2020,6920600,138400,142,43--,202008
230,ETWA,-13.89,18,03 Agt 2020,31 Agt 2020,54539300,826000,129,34--,202008
231,EXCL,-2.4,18,03 Agt 2020,31 Agt 2020,1091731360000,439143100,116339,73--,202008
232,FAST,-1.09,18,03 Agt 2020,31 Agt 2020,899525500,986300,813,94--,202008
233,FASW,0.0,18,03 Agt 2020,31 Agt 2020,69047500,9900,32,38--,202008
234,FILM,26.38,18,03 Agt 2020,31 Agt 2020,28813379400,130158400,18587,95--,202008
235,FINN,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,82--,202008
236,FIRE,6.45,18,03 Agt 2020,31 Agt 2020,44381519600,317038400,36331,21--,202008
237,FISH,-1.73,18,03 Agt 2020,31 Agt 2020,73501000,26800,89,91--,202008
238,FITT,-16.42,18,03 Agt 2020,31 Agt 2020,759978800,11569000,439,94--,202008
239,FMII,-30.2,18,03 Agt 2020,31 Agt 2020,9945500,14500,14,61--,202008
240,FOOD,-0.85,18,03 Agt 2020,31 Agt 2020,11181057700,92152100,5403,51--,202008
241,FORU,-4.55,18,03 Agt 2020,31 Agt 2020,8664500,105000,105,95--,202008
242,FORZ,0.0,18,03 Agt 2020,31 Agt 2020,42960000,859200,52,61--,202008
243,FPNI,31.87,18,03 Agt 2020,31 Agt 2020,11422057200,100427700,7084,35--,202008
244,FREN,-37.06,18,03 Agt 2020,31 Agt 2020,1538185340600,13890624900,336277,73--,202008
245,FUJI,5.77,18,03 Agt 2020,31 Agt 2020,83495800,807900,169,82--,202008
246,GAMA,0.0,18,03 Agt 2020,31 Agt 2020,30000,600,6,61--,202008
247,GDST,5.17,18,03 Agt 2020,31 Agt 2020,2505018900,41992600,7041,33--,202008
248,GDYR,-3.45,18,03 Agt 2020,31 Agt 2020,34745500,24600,57,42--,202008
249,GEMA,-7.53,18,03 Agt 2020,31 Agt 2020,42275000,121500,28,99--,202008
250,GEMS,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,21--,202008
251,GGRM,-4.95,18,03 Agt 2020,31 Agt 2020,1914108160000,37553500,89831,52--,202008
252,GGRP,21.74,18,03 Agt 2020,31 Agt 2020,73576200,247500,277,33--,202008
253,GHON,6.45,18,03 Agt 2020,31 Agt 2020,282588000,182600,214,75--,202008
254,GIAA,3.28,18,03 Agt 2020,31 Agt 2020,238989788800,922439500,58206,74--,202008
255,GJTL,0.0,18,03 Agt 2020,31 Agt 2020,90150119500,158724500,21421,42--,202008
256,GLOB,20.47,18,03 Agt 2020,31 Agt 2020,26631700,186200,129,93--,202008
257,GLVA,3.92,18,03 Agt 2020,31 Agt 2020,3197418200,10121300,276,97--,202008
258,GMFI,-1.19,18,03 Agt 2020,31 Agt 2020,12736802900,154778700,5718,41--,202008
259,GMTD,0.0,18,03 Agt 2020,31 Agt 2020,1797500,100,1,61--,202008
260,GOLD,1.52,18,03 Agt 2020,31 Agt 2020,273806100,1423900,519,75--,202008
261,GOLL,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,12--,202008
262,GOOD,-3.73,18,03 Agt 2020,31 Agt 2020,6218631500,4748800,2473,51--,202008
263,GPRA,0.0,18,03 Agt 2020,31 Agt 2020,576863100,11499100,438,61--,202008
264,GREN,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,91--,202008
265,GSMF,-13.76,18,03 Agt 2020,31 Agt 2020,15568800,159300,90,89--,202008
266,GTBO,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,21--,202008
267,GWSA,6.86,18,03 Agt 2020,31 Agt 2020,462415300,4303700,837,61--,202008
