Stock Code,Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
ARGO,2022,03.05,-5.62,-13.48,-0.36,6.91,-9.52,-6.02,-16.4,-1.91,12.68,0.43,5.6
ARGO,2023,-15.51,-24.64,-37.18,1.22,0.81,-10,9.78,3.24,36.27,7.19,12.75,14.29
ARII,2019,11.11,-15,6.47,-6.08,-5.88,0,-5,-4.61,-2.07,-9.86,0,10.16
ARII,2020,4.26,0,-18.37,12.5,0.74,-22.06,-9.06,-6.64,-4.44,3.72,3.59,-14.29
ARII,2021,-44.95,-22.94,1.19,0,123.53,-27.37,12.32,-6.45,20,-5.17,-23.03,-1.57
ARII,2022,-0.8,-0.81,0.81,-3.23,-1.67,-3.39,-7.89,2.86,61.11,-0.57,-0.58,-13.95
ARII,2023,-10.81,-5.3,-7.2,-6.9,-31.94,2.72,32.45,68,-8.93,-1.96,-19.33,-9.92
ARKA,2019,,,,,,,336.44,70.39,-9.12,0.63,0.31,29.81
ARKA,2020,-4.31,-20,-6.87,0.34,-13.04,-66.92,-33.02,-31.94,-51.02,-25,0,-23.61
ARKA,2021,-9.09,0,0,0,0,0,0,0,66,-16.87,-20.29,-1.82
ARKA,2022,-7.41,0,0,0,0,0,0,10,-9.09,0,0,0
ARKA,2023,0,0,0,0,0,0,0,0,0,0,0,0
ARKO,2022,,,,,,,98.33,0,20.17,-20.98,21.24,-8.76
ARKO,2023,-6.4,-5.98,8.18,4.2,-4.03,5.88,0,13.49,-1.4,0.71,0.7,-1.4
ARMY,2019,-10.69,19.01,-5.33,-2.5,-10.9,-3.6,-6.72,-10.4,8.93,-20.08,-74.36,0
ARMY,2020,0,0,0,0,0,0,0,0,0,0,0,0
ARMY,2021,0,0,0,0,0,0,0,0,0,0,0,0
ARMY,2022,0,0,0,0,0,0,0,0,0,0,0,0
ARMY,2023,0,0,0,0,0,0,0,0,0,0,0,0
ARNA,2019,12.86,2.53,3.91,0.99,-0.98,-0.99,13,-0.88,-8.93,-2.35,-6.02,-6.84
ARNA,2020,-1.38,-0.47,-18.22,16.57,-3.43,-3.05,10.47,6.16,-0.45,11.66,7.43,27.1
ARNA,2021,-2.94,12.12,-0.68,0.68,-4.05,3.52,2.72,0.66,-3.29,17.69,-3.47,-4.19
