Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
DKFT,-8.74,-69.28,17,05 Jun 2023,27 Jun 2023,4467873300,45930700,5297,B146,2023,06
DLTA,2.43,-30.91,17,05 Jun 2023,27 Jun 2023,6507824000,1729000,1702,D211,2023,06
DMAS,1.79,7.55,17,05 Jun 2023,27 Jun 2023,69285708100,402868800,27109,H111,2023,06
DMMX,-19.67,113.04,17,05 Jun 2023,27 Jun 2023,124678991400,190136200,29595,I121,2023,06
DMND,1.24,-10.93,17,05 Jun 2023,27 Jun 2023,299902000,366500,251,D112,2023,06
DNAR,-1.56,-54.35,17,05 Jun 2023,27 Jun 2023,741250500,5669800,1667,G111,2023,06
DNET,5.0,27.66,17,05 Jun 2023,27 Jun 2023,455383000,111800,195,G512,2023,06
DOID,21.33,-30.67,17,05 Jun 2023,27 Jun 2023,116078557800,335034500,25443,A132,2023,06
DOOH,-24.24,-50.0,17,05 Jun 2023,27 Jun 2023,97085335900,1797914800,89405,E611,2023,06
DPNS,2.5,29.75,17,05 Jun 2023,27 Jun 2023,663887800,1652400,592,B113,2023,06
DPUM,0.0,-60.94,17,05 Jun 2023,27 Jun 2023,0,0,0,D231,2023,06
DRMA,36.19,186.0,17,05 Jun 2023,27 Jun 2023,239381270500,180041500,46615,E111,2023,06
DSFI,0.0,-26.73,17,05 Jun 2023,27 Jun 2023,853818700,11368400,1184,D231,2023,06
DSNG,-6.14,30.49,17,05 Jun 2023,27 Jun 2023,308580642000,564820200,25741,D232,2023,06
DSSA,4.02,187.41,17,05 Jun 2023,27 Jun 2023,236950000,6200,22,A121,2023,06
DUCK,0.0,-88.72,17,05 Jun 2023,27 Jun 2023,0,0,0,E515,2023,06
DUTI,-7.79,2.51,17,05 Jun 2023,27 Jun 2023,106498000,22500,95,H111,2023,06
DVLA,-0.25,1.55,17,05 Jun 2023,27 Jun 2023,943325500,474900,744,F211,2023,06
DWGL,-1.61,69.44,17,05 Jun 2023,27 Jun 2023,131501500,988800,561,A122,2023,06
DYAN,-6.4,51.95,17,05 Jun 2023,27 Jun 2023,22351997700,177945900,12093,C224,2023,06
EAST,7.27,-11.28,17,05 Jun 2023,27 Jun 2023,7525308400,63628100,7277,E512,2023,06
ECII,15.08,-63.54,17,05 Jun 2023,27 Jun 2023,388671800,956500,451,E742,2023,06
EDGE,0.0,154.24,17,05 Jun 2023,27 Jun 2023,866342500,46700,180,I121,2023,06
EKAD,0.0,-69.12,17,05 Jun 2023,27 Jun 2023,2747381200,10160400,3478,B113,2023,06
ELIT,-39.64,11.67,17,05 Jun 2023,27 Jun 2023,232115772100,1353660900,219070,I121,2023,06
ELPI,0.0,25.0,17,05 Jun 2023,27 Jun 2023,33269355000,129719900,10929,K211,2023,06
ELSA,1.21,-2.91,17,05 Jun 2023,27 Jun 2023,228507703000,681161000,34942,A131,2023,06
ELTY,0.0,0.0,17,05 Jun 2023,27 Jun 2023,12345000,246900,31,H111,2023,06
EMDE,11.71,-51.18,17,05 Jun 2023,27 Jun 2023,99966900,842400,190,H111,2023,06
EMTK,19.33,-91.55,17,05 Jun 2023,27 Jun 2023,455988533500,652200400,87701,I111,2023,06
ENAK,3.11,55.88,17,05 Jun 2023,27 Jun 2023,19118377500,14714900,2227,E515,2023,06
ENRG,-1.85,324.0,17,05 Jun 2023,27 Jun 2023,142976520200,652081600,32233,A111,2023,06
ENVY,0.0,-86.49,17,05 Jun 2023,27 Jun 2023,0,0,0,I121,2023,06
ENZO,0.0,-52.38,17,05 Jun 2023,27 Jun 2023,41970000,839400,104,D231,2023,06
EPAC,-66.0,-84.55,17,05 Jun 2023,27 Jun 2023,57204600,2662200,334,B131,2023,06
EPMT,5.47,37.62,17,05 Jun 2023,27 Jun 2023,4142925000,1481300,828,D111,2023,06
ERAA,-1.65,-78.36,17,05 Jun 2023,27 Jun 2023,366393391700,755950500,63630,E742,2023,06
ERTX,-2.58,52.42,17,05 Jun 2023,27 Jun 2023,25014112300,138661600,31941,E411,2023,06
ESIP,0.0,-69.33,17,05 Jun 2023,27 Jun 2023,611682400,12193300,922,B131,2023,06
ESSA,18.85,80.12,17,05 Jun 2023,27 Jun 2023,421711840500,720131500,76201,B111,2023,06
ESTA,-31.97,-30.83,17,05 Jun 2023,27 Jun 2023,65354179700,523189900,56392,E512,2023,06
ESTI,-3.85,-38.27,17,05 Jun 2023,27 Jun 2023,416598400,8140000,931,E413,2023,06
ETWA,-17.13,85.19,17,05 Jun 2023,27 Jun 2023,103709500,665300,434,A221,2023,06
EURO,-30.85,178.57,17,05 Jun 2023,27 Jun 2023,18935419300,82478500,10774,D421,2023,06
EXCL,-1.51,-1.26,17,05 Jun 2023,27 Jun 2023,661118073500,327781200,74190,J321,2023,06
FAPA,1.0,174.46,17,05 Jun 2023,27 Jun 2023,1585615000,315400,242,D232,2023,06
FAST,2.56,-52.1,17,05 Jun 2023,27 Jun 2023,238085000,307000,441,E515,2023,06
FASW,-3.33,-25.4,17,05 Jun 2023,27 Jun 2023,26172500,4400,23,B131,2023,06
FILM,33.86,394.12,17,05 Jun 2023,27 Jun 2023,1233530402000,418478400,119999,E621,2023,06
FIMP,0.0,-42.4,17,05 Jun 2023,27 Jun 2023,5240800,74500,108,J211,2023,06
FIRE,3.12,-99.15,17,05 Jun 2023,27 Jun 2023,6704290100,97498300,10576,A122,2023,06
FISH,5.79,57.64,17,05 Jun 2023,27 Jun 2023,29672500,4800,20,D232,2023,06
FITT,0.81,512.75,17,05 Jun 2023,27 Jun 2023,2784468000,4462300,466,E512,2023,06
FLMC,0.0,-60.5,17,05 Jun 2023,27 Jun 2023,0,0,0,D421,2023,06
FMII,198.72,66.43,17,05 Jun 2023,27 Jun 2023,4138079800,4526800,5409,H111,2023,06
FOOD,-9.09,-33.33,17,05 Jun 2023,27 Jun 2023,939009400,10071900,2264,D222,2023,06
FORU,-2.7,30.91,17,05 Jun 2023,27 Jun 2023,652562200,4364200,1537,E611,2023,06
FORZ,0.0,-94.57,17,05 Jun 2023,27 Jun 2023,0,0,0,H111,2023,06
FPNI,-2.53,20.63,17,05 Jun 2023,27 Jun 2023,3438051200,17481700,2957,B111,2023,06
FREN,0.0,-23.08,17,05 Jun 2023,27 Jun 2023,208287414900,3406727500,65717,J321,2023,06
FUJI,-13.73,140.0,17,05 Jun 2023,27 Jun 2023,462769000,1635800,1300,G211,2023,06
FUTR,-15.25,-50.0,17,05 Jun 2023,27 Jun 2023,50803599000,978623700,48802,E611,2023,06
FWCT,-11.67,-55.08,17,05 Jun 2023,27 Jun 2023,5986823500,108724200,15734,B151,2023,06
GAMA,-64.0,-68.97,17,05 Jun 2023,27 Jun 2023,2825600,111100,83,H111,2023,06
GDST,-1.53,37.23,17,05 Jun 2023,27 Jun 2023,6672401900,49042700,6883,B144,2023,06
GDYR,-0.38,-31.7,17,05 Jun 2023,27 Jun 2023,232339000,171100,201,E112,2023,06
GEMA,-1.31,-4.43,17,05 Jun 2023,27 Jun 2023,215324000,707900,111,E211,2023,06
GEMS,-10.04,128.43,17,05 Jun 2023,27 Jun 2023,7307347500,1165100,2355,A121,2023,06
GGRM,2.31,-66.97,17,05 Jun 2023,27 Jun 2023,1027990152500,36660200,60477,D311,2023,06
GGRP,2.5,-51.19,17,05 Jun 2023,27 Jun 2023,1155708600,2873100,1056,B144,2023,06
GHON,0.85,34.09,17,05 Jun 2023,27 Jun 2023,883895000,484500,769,J321,2023,06
GIAA,-8.7,-78.86,17,05 Jun 2023,27 Jun 2023,60206234900,912318900,29673,K111,2023,06
GJTL,3.18,24.62,17,05 Jun 2023,27 Jun 2023,141072568000,167552900,23618,E112,2023,06
GLOB,-9.4,-67.28,17,05 Jun 2023,27 Jun 2023,13887200,126600,231,E742,2023,06
GLVA,9.43,156.64,17,05 Jun 2023,27 Jun 2023,236059000,419600,339,I231,2023,06
GMFI,-11.48,-75.0,17,05 Jun 2023,27 Jun 2023,2738335400,49558000,2647,J111,2023,06
GMTD,0.0,-1.0,17,05 Jun 2023,27 Jun 2023,0,0,0,H111,2023,06
GOLD,1.09,-31.11,17,05 Jun 2023,27 Jun 2023,275317200,726700,1069,J321,2023,06
GOLL,0.0,0.0,17,05 Jun 2023,27 Jun 2023,0,0,0,D232,2023,06
GOOD,0.0,-75.25,17,05 Jun 2023,27 Jun 2023,18333277000,39726100,5005,D222,2023,06
GOTO,-25.17,-67.46,17,05 Jun 2023,27 Jun 2023,7595888820300,63646082800,420060,I111,2023,06
GPRA,8.41,5.45,17,05 Jun 2023,27 Jun 2023,18654811200,162211400,9219,H111,2023,06
GPSO,-5.26,-40.0,17,05 Jun 2023,27 Jun 2023,13266920500,122680800,1800,C143,2023,06
GSMF,-1.45,-27.66,17,05 Jun 2023,27 Jun 2023,375848900,5549400,608,G511,2023,06
GTBO,-11.93,-34.87,17,05 Jun 2023,27 Jun 2023,2949068600,16746900,4123,A121,2023,06
GTRA,22.14,128.0,17,05 Jun 2023,27 Jun 2023,102384787400,322574500,385359,K211,2023,06
GTSI,-1.92,-49.0,17,05 Jun 2023,27 Jun 2023,4629469500,90372700,2009,A112,2023,06
GULA,25.0,40.0,17,05 Jun 2023,27 Jun 2023,138386852400,369921100,44198,D222,2023,06
GWSA,11.56,15.49,17,05 Jun 2023,27 Jun 2023,1235225300,8183200,801,H111,2023,06
GZCO,6.02,76.0,17,05 Jun 2023,27 Jun 2023,23246161800,257733300,75028,D232,2023,06
HADE,-60.0,-60.0,17,05 Jun 2023,27 Jun 2023,613900,17000,47,J421,2023,06
HAIS,4.1,-15.33,17,05 Jun 2023,27 Jun 2023,35879948600,140342800,17949,K211,2023,06
HAJJ,-12.5,70.0,17,05 Jun 2023,27 Jun 2023,47338605000,181382800,38075,E513,2023,06
HALO,-19.59,19.0,17,05 Jun 2023,27 Jun 2023,74955855600,612764100,92835,F112,2023,06
HATM,6.36,46.25,17,05 Jun 2023,27 Jun 2023,242292785200,871734400,35719,K211,2023,06
