,Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
416,NASA,0.0,0.0,22,02 Jan 2019,31 Jan 2019,167743410500,272826500,265,,2019,01
417,NELY,2.26,2.26,22,02 Jan 2019,31 Jan 2019,142349300,1082900,369,,2019,01
418,NFCX,-7.89,-7.89,22,02 Jan 2019,31 Jan 2019,65710219000,31250600,7603,,2019,01
419,NICK,25.87,25.87,22,02 Jan 2019,31 Jan 2019,333747700,2156600,363,,2019,01
420,NIKL,-12.22,-12.22,22,02 Jan 2019,31 Jan 2019,32748063000,9827800,4232,,2019,01
421,NIPS,7.69,7.69,22,02 Jan 2019,31 Jan 2019,3686781600,8994600,1612,,2019,01
422,NIRO,1.12,1.12,22,02 Jan 2019,31 Jan 2019,6841485500,76013600,487,,2019,01
423,NISP,9.94,9.94,22,02 Jan 2019,31 Jan 2019,1468006000,1629700,1141,,2019,01
424,NOBU,-3.5,-3.5,22,02 Jan 2019,31 Jan 2019,54359500,56500,55,,2019,01
425,NRCA,7.25,7.25,22,02 Jan 2019,31 Jan 2019,4519105200,11052100,1471,,2019,01
426,NUSA,0.99,0.99,22,02 Jan 2019,31 Jan 2019,87469068900,794148100,46727,,2019,01
427,OASA,2.72,2.72,22,02 Jan 2019,31 Jan 2019,2049803400,5550200,433,,2019,01
428,OCAP,-37.96,-37.96,22,02 Jan 2019,31 Jan 2019,22371300,85100,136,,2019,01
429,OKAS,5.99,5.99,22,02 Jan 2019,31 Jan 2019,245265000,1435400,689,,2019,01
430,OMRE,0.0,0.0,22,02 Jan 2019,31 Jan 2019,715000,400,4,,2019,01
431,PADI,-17.79,-17.79,22,02 Jan 2019,31 Jan 2019,42315126500,50073100,6265,,2019,01
432,PALM,5.38,5.38,22,02 Jan 2019,31 Jan 2019,236699600,855800,265,,2019,01
433,PANI,-7.91,-7.91,22,02 Jan 2019,31 Jan 2019,1277653600,7567600,1856,,2019,01
434,PANR,10.27,10.27,22,02 Jan 2019,31 Jan 2019,9818303800,24727200,4773,,2019,01
435,PANS,-3.79,-3.79,22,02 Jan 2019,31 Jan 2019,5961317000,4299900,973,,2019,01
436,PBID,-2.17,-2.17,22,02 Jan 2019,31 Jan 2019,5688146500,5078900,807,,2019,01
437,PBRX,0.91,0.91,22,02 Jan 2019,31 Jan 2019,9182775500,16443100,1914,,2019,01
438,PBSA,-7.8,-7.8,22,02 Jan 2019,31 Jan 2019,149699000,222000,516,,2019,01
439,PCAR,-14.39,-14.39,22,02 Jan 2019,31 Jan 2019,4646736000,969300,159,,2019,01
440,PDES,-14.19,-14.19,22,02 Jan 2019,31 Jan 2019,5477000,3800,15,,2019,01
441,PEGE,2.29,2.29,22,02 Jan 2019,31 Jan 2019,94798300,536400,71,,2019,01
442,PEHA,-18.15,-18.15,22,02 Jan 2019,31 Jan 2019,8548412000,2830400,2187,,2019,01
443,PGAS,21.23,21.23,22,02 Jan 2019,31 Jan 2019,4215545450000,1790288100,155415,,2019,01
444,PGLI,-20.86,-20.86,22,02 Jan 2019,31 Jan 2019,51325400,242300,150,,2019,01
445,PICO,4.8,4.8,22,02 Jan 2019,31 Jan 2019,58317800,231400,270,,2019,01
446,PJAA,3.17,3.17,22,02 Jan 2019,31 Jan 2019,57305500,44000,130,,2019,01
447,PKPK,0.95,0.95,22,02 Jan 2019,31 Jan 2019,3876688800,35507000,5173,,2019,01
448,PLAS,0.0,0.0,22,02 Jan 2019,31 Jan 2019,0,0,0,,2019,01
449,PLIN,21.53,21.53,22,02 Jan 2019,31 Jan 2019,69652000,20800,55,,2019,01
450,PNBN,23.14,23.14,22,02 Jan 2019,31 Jan 2019,410578978000,321217900,21791,,2019,01
451,PNBS,22.0,22.0,22,02 Jan 2019,31 Jan 2019,19200984200,334859200,10684,,2019,01
452,PNIN,8.57,8.57,22,02 Jan 2019,31 Jan 2019,25166767000,22120400,5700,,2019,01
453,PNLF,13.43,13.43,22,02 Jan 2019,31 Jan 2019,442510789800,1520905700,54228,,2019,01
454,PNSE,7.58,7.58,22,02 Jan 2019,31 Jan 2019,21470500,31400,77,,2019,01
455,POLA,-26.59,-26.59,22,02 Jan 2019,31 Jan 2019,2263192500,1313400,664,,2019,01
456,POLL,-12.29,-12.29,22,02 Jan 2019,31 Jan 2019,4866426000,2806400,414,,2019,01
457,POLY,13.33,13.33,22,02 Jan 2019,31 Jan 2019,26060227900,155463600,12629,,2019,01
458,POOL,-8.37,-8.37,22,02 Jan 2019,31 Jan 2019,4384001015000,886811000,11235,,2019,01
459,PORT,1.82,1.82,22,02 Jan 2019,31 Jan 2019,48881000,87500,150,,2019,01
460,POWR,-5.62,-5.62,22,02 Jan 2019,31 Jan 2019,25948829000,30691300,4767,,2019,01
461,PPRE,9.43,9.43,22,02 Jan 2019,31 Jan 2019,17430941600,49856700,5171,,2019,01
462,PPRO,35.04,35.04,22,02 Jan 2019,31 Jan 2019,395393814100,2708109700,81234,,2019,01
463,PRAS,6.21,6.21,22,02 Jan 2019,31 Jan 2019,39291600,211600,66,,2019,01
464,PRDA,4.39,4.39,22,02 Jan 2019,31 Jan 2019,11519713000,5009000,3825,,2019,01
465,PRIM,-17.36,-17.36,22,02 Jan 2019,31 Jan 2019,1637559100,3221300,679,,2019,01
466,PSAB,9.9,9.9,22,02 Jan 2019,31 Jan 2019,21408170700,98271500,7441,,2019,01
467,PSDN,42.71,42.71,22,02 Jan 2019,31 Jan 2019,561525200,2105800,1083,,2019,01
468,PSKT,0.0,0.0,22,02 Jan 2019,31 Jan 2019,12825000,256500,47,,2019,01
469,PSSI,10.39,10.39,22,02 Jan 2019,31 Jan 2019,13316114300,77409300,8324,,2019,01
470,PTBA,0.23,0.23,22,02 Jan 2019,31 Jan 2019,1519475220000,347699600,95859,,2019,01
471,PTIS,-17.5,-17.5,22,02 Jan 2019,31 Jan 2019,47146800,168700,129,,2019,01
472,PTPP,29.64,29.64,22,02 Jan 2019,31 Jan 2019,1784962601500,811337300,102273,,2019,01
473,PTRO,11.2,11.2,22,02 Jan 2019,31 Jan 2019,58083447000,29936900,10674,,2019,01
474,PTSN,-22.86,-22.86,22,02 Jan 2019,31 Jan 2019,210566788000,132710300,65782,,2019,01
475,PTSP,-0.34,-0.34,22,02 Jan 2019,31 Jan 2019,727500,100,1,,2019,01
476,PUDP,-5.0,-5.0,22,02 Jan 2019,31 Jan 2019,5427800,12900,18,,2019,01
477,PWON,4.84,4.84,22,02 Jan 2019,31 Jan 2019,582457841500,865864700,71920,,2019,01
478,PYFA,-10.05,-10.05,22,02 Jan 2019,31 Jan 2019,40508800,225600,76,,2019,01
479,PZZA,16.48,16.48,22,02 Jan 2019,31 Jan 2019,19976566500,20178400,4447,,2019,01
480,RAJA,20.37,20.37,22,02 Jan 2019,31 Jan 2019,20232293600,52282300,11570,,2019,01
481,RALS,10.56,10.56,22,02 Jan 2019,31 Jan 2019,173248674000,110872100,21284,,2019,01
482,RANC,8.28,8.28,22,02 Jan 2019,31 Jan 2019,484596400,1454700,179,,2019,01
483,RBMS,13.83,13.83,22,02 Jan 2019,31 Jan 2019,42448143000,386514500,22440,,2019,01
