,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
343,LPCK,11.76,19,01 Feb 2019,28 Feb 2019,106918697000,39797000,19382,,201902
344,LPGI,-13.95,19,01 Feb 2019,28 Feb 2019,11124533000,3427700,76,,201902
345,LPIN,-5.56,19,01 Feb 2019,28 Feb 2019,424064000,485700,179,,201902
346,LPKR,11.43,19,01 Feb 2019,28 Feb 2019,386208826400,1301895200,41585,,201902
347,LPLI,49.12,19,01 Feb 2019,28 Feb 2019,72284300,534100,271,,201902
348,LPPF,-17.86,19,01 Feb 2019,28 Feb 2019,670818655000,107610500,60139,,201902
349,LPPS,0.95,19,01 Feb 2019,28 Feb 2019,1029921900,9519200,1151,,201902
350,LRNA,1.83,19,01 Feb 2019,28 Feb 2019,80329600,745600,325,,201902
351,LSIP,-17.01,19,01 Feb 2019,28 Feb 2019,253793159000,183931100,29252,,201902
352,LTLS,3.45,19,01 Feb 2019,28 Feb 2019,2456646000,4068100,465,,201902
353,LUCK,-5.76,19,01 Feb 2019,28 Feb 2019,4307371500,6640700,1014,,201902
354,MABA,-60.14,19,01 Feb 2019,28 Feb 2019,1148344775500,16197822800,27643,,201902
355,MAGP,0.0,19,01 Feb 2019,28 Feb 2019,1105000,22100,14,,201902
356,MAIN,-15.91,19,01 Feb 2019,28 Feb 2019,284118729500,166636300,43364,,201902
357,MAMI,-2.29,19,01 Feb 2019,28 Feb 2019,230440127600,1806833000,21477,,201902
358,MAMIP,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
359,MAPA,31.4,19,01 Feb 2019,28 Feb 2019,1297215500,265700,147,,201902
360,MAPB,2.43,19,01 Feb 2019,28 Feb 2019,83608000,44900,119,,201902
361,MAPI,5.47,19,01 Feb 2019,28 Feb 2019,309796258500,305301400,33733,,201902
362,MARI,4.88,19,01 Feb 2019,28 Feb 2019,37899047800,153275000,3561,,201902
363,MARK,-77.02,19,01 Feb 2019,28 Feb 2019,33568309500,65451100,13692,,201902
364,MASA,4.61,19,01 Feb 2019,28 Feb 2019,213570291000,273411900,12443,,201902
365,MAYA,1.45,19,01 Feb 2019,28 Feb 2019,380947500,58200,69,,201902
366,MBAP,0.0,19,01 Feb 2019,28 Feb 2019,3137946000,1061700,1386,,201902
367,MBSS,0.83,19,01 Feb 2019,28 Feb 2019,22589487000,38311400,5153,,201902
368,MBTO,3.47,19,01 Feb 2019,28 Feb 2019,105585900,710200,164,,201902
369,MCAS,17.08,19,01 Feb 2019,28 Feb 2019,463966559000,131258500,10400,,201902
370,MCOR,-2.37,19,01 Feb 2019,28 Feb 2019,6740162800,40392400,3568,,201902
371,MDIA,-5.11,19,01 Feb 2019,28 Feb 2019,11842527500,81574700,3377,,201902
372,MDKA,3.78,19,01 Feb 2019,28 Feb 2019,14179766000,4044300,954,,201902
373,MDKI,-4.0,19,01 Feb 2019,28 Feb 2019,340512000,1364500,253,,201902
374,MDLN,18.58,19,01 Feb 2019,28 Feb 2019,115648802800,407472800,12947,,201902
375,MDRN,0.0,19,01 Feb 2019,28 Feb 2019,2410000,48200,18,,201902
376,MEDC,-8.42,19,01 Feb 2019,28 Feb 2019,909815447500,923466400,65588,,201902
377,MEGA,0.0,19,01 Feb 2019,28 Feb 2019,483000,100,1,,201902
378,MERK,-6.32,19,01 Feb 2019,28 Feb 2019,7422235000,1796400,3014,,201902
379,META,0.0,19,01 Feb 2019,28 Feb 2019,2334505200,11052500,674,,201902
380,MFIN,3.05,19,01 Feb 2019,28 Feb 2019,3105549500,3123200,568,,201902
381,MFMI,10.29,19,01 Feb 2019,28 Feb 2019,762417000,1171200,58,,201902
382,MGNA,0.0,19,01 Feb 2019,28 Feb 2019,12860000,257200,449,,201902
383,MGRO,-5.0,19,01 Feb 2019,28 Feb 2019,90322421500,89346500,10510,,201902
