Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
TINS,--MO1SKFVC0000B146------------,1880,1900,04 Apr 2022,1945,1880,1945,65,62416100,120311031000,10417,2022,04
TIRA,--U-2130000000C211------------,422,0,04 Apr 2022,500,418,440,18,239600,107044400,285,2022,04
TIRT,--U-1100000000B151-E----------,94,0,04 Apr 2022,126,89,126,32,128385200,14608290400,38887,2022,04
TKIM,--MO1S35M10000B152------------,7050,7050,04 Apr 2022,7075,7000,7050,0,1314800,9243740000,967,2022,04
TLKM,--MO1XNSWR6000J312------------,4580,4560,04 Apr 2022,4570,4490,4540,-40,103480300,467577651000,12571,2022,04
TMAS,--U-1135000000K211------------,1620,0,04 Apr 2022,1670,1520,1585,-35,4727100,7566286000,2655,2022,04
TMPO,--U-2130000000E614------------,134,0,04 Apr 2022,134,132,133,-1,13500,1792400,12,2022,04
TNCA,--U-2130000000K211------------,1065,0,04 Apr 2022,1075,995,995,-70,7430000,7483045500,2660,2022,04
TOBA,--M-1105000000A121------------,1085,0,04 Apr 2022,1125,1075,1095,10,3625500,3948553500,1225,2022,04
TOPS,--U-1135000000J211------------,50,0,04 Apr 2022,50,50,50,0,5500,275000,9,2022,04
TOTL,--M-1135000000J211------------,292,0,04 Apr 2022,296,292,292,0,2932600,861639400,561,2022,04
TOTO,--U-2135000000C121------------,220,0,04 Apr 2022,220,214,218,-2,366900,79479400,130,2022,04
TOWR,--MO1U4GCB0000J321------------,1040,1040,04 Apr 2022,1050,1030,1050,10,21744200,22634397500,3718,2022,04
TOYS,--U-2130000000E321------------,177,0,04 Apr 2022,178,175,176,-1,9473800,1668528100,1212,2022,04
TPIA,--MO2X34F00000B111------------,10150,10200,04 Apr 2022,10300,10175,10275,125,4488900,46016862500,1477,2022,04
TPMA,--U-2130000000A122------------,364,0,04 Apr 2022,368,354,360,-4,1760800,633785400,253,2022,04
TRAM,--U-1105000000A121---L---Y----,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
TRIL,--U-2130000000C211------------,50,0,04 Apr 2022,0,0,50,0,0,0,0,2022,04
TRIM,--M-1105000000G312------------,316,0,04 Apr 2022,322,310,310,-6,6423200,2012028400,727,2022,04
TRIN,--U-2135000000H111------------,470,0,04 Apr 2022,472,438,438,-32,7181900,3208738600,1288,2022,04
TRIO,--U-1105000000E742-E----------,426,0,04 Apr 2022,0,0,426,0,0,0,0,2022,04
TRIS,--M-2130000000E411------------,182,0,04 Apr 2022,187,173,177,-5,1109100,201826400,435,2022,04
TRJA,--M-2130000000K132------------,378,0,04 Apr 2022,394,352,352,-26,137499600,50983527600,11868,2022,04
TRST,--U-1135000000B131------------,700,0,04 Apr 2022,705,670,700,0,138500,96411000,27,2022,04
TRUE,--U-2130000000H111------------,101,0,04 Apr 2022,101,99,100,-1,6178100,616391600,652,2022,04
TRUK,--U-2130000000K211------------,186,0,04 Apr 2022,193,185,187,1,12522500,2367462200,3519,2022,04
TRUS,--U-2100000000G211------------,424,0,04 Apr 2022,460,396,436,12,65600,28330000,67,2022,04
TSPC,--M-1135000000F211------------,1475,0,04 Apr 2022,1480,1460,1475,0,1631200,2401791000,178,2022,04
TUGU,--U-2105000000G412------------,1470,0,04 Apr 2022,1470,1435,1450,-20,413800,597783500,268,2022,04
TURI,--U-1135000000E745------------,1370,0,04 Apr 2022,1370,1370,1370,0,1600,2192000,3,2022,04
UANG,--U-2100000000E512------------,695,0,04 Apr 2022,695,695,695,0,7700,5351500,4,2022,04
UCID,--U-1135000000D421------------,1410,0,04 Apr 2022,1425,1400,1400,-10,1485600,2082458500,255,2022,04
UFOE,--U-1135000000E742------------,2390,0,04 Apr 2022,2390,2230,2230,-160,3075100,7061830000,974,2022,04
ULTJ,--M-113C000000D221------------,1485,0,04 Apr 2022,1500,1485,1495,10,895300,1337469000,405,2022,04
