Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
LION,--U-1130000000C223------------,316,0,22 Feb 2022,318,312,314,-2,24600,7772800,8
LMAS,--U-2130000000I121------------,57,0,22 Feb 2022,72,57,65,8,307342200,20990669900,17493
LMPI,--U-2130000000E213------------,190,0,22 Feb 2022,190,187,188,-2,89500,16809100,42
LMSH,--U-2130000000B144------------,715,0,22 Feb 2022,0,0,715,0,0,0,0
LPCK,--M-1105000000H111------------,1245,0,22 Feb 2022,1260,1240,1250,5,400000,499395000,80
LPGI,--U-1100000000G412------------,8350,0,22 Feb 2022,8350,8250,8350,0,405300,3384242500,45
LPIN,--M-2130000000E111------------,510,0,22 Feb 2022,635,476,480,-30,22339200,11326554700,6202
LPKR,--U-1835M01000H111------------,136,0,22 Feb 2022,137,133,133,-3,26543500,3553393400,1109
LPLI,--U-2100000000H111------------,248,0,22 Feb 2022,252,248,248,0,24300,6069200,28
LPPF,--M-1835MB0000E731------------,4350,0,22 Feb 2022,4600,4350,4600,250,7389400,33416923000,3928
LPPS,--U-2100000000G512------------,100,0,22 Feb 2022,102,97,100,0,2244200,221231400,143
LRNA,--U-2130000000K132------------,188,0,22 Feb 2022,188,180,180,-8,18400,3348100,24
LSIP,--M-18GCM76000D232------------,1380,0,22 Feb 2022,1385,1350,1380,0,13653500,18661110500,2522
LTLS,--U-1135000000B111------------,680,0,22 Feb 2022,695,680,685,5,78400,53520000,28
LUCK,--U-2130000000I221------------,402,0,22 Feb 2022,404,380,380,-22,23446500,9047298800,4008
LUCY,--U-3000000000E515------------,74,0,22 Feb 2022,75,72,73,-1,778900,57624500,142
MABA,--U-2100000000E512--DL---Y---X,50,0,22 Feb 2022,0,0,50,0,0,0,0
MAGP,--U-2100000000D232-------Y----,50,0,22 Feb 2022,0,0,50,0,0,0,0
MAIN,--M-1135000000D231------------,680,0,22 Feb 2022,705,670,705,25,6100400,4240852500,1096
MAMI,--U-1100000000E512------------,50,0,22 Feb 2022,0,0,50,0,0,0,0
MAMIP,--U-1100000000E512------------,600,0,22 Feb 2022,0,0,600,0,0,0,0
MAPA,--M-2135000000E741------------,2480,0,22 Feb 2022,2620,2480,2610,130,446600,1128515000,140
MAPB,--U-2135000000E515------------,1530,0,22 Feb 2022,1600,1530,1600,70,1400,2233000,6
MAPI,--M-183CM40000E741------------,815,0,22 Feb 2022,815,780,800,-15,7748100,6180515000,1293
MARI,--U-2105000000E612------------,364,0,22 Feb 2022,378,360,362,-2,20889000,7690184200,1558
MARK,--M-1135000000C143------------,1090,0,22 Feb 2022,1090,1050,1070,-20,6517900,6906382500,1121
MASA,--U-1135000000E112------------,4920,0,22 Feb 2022,4820,4650,4800,-120,6700,31589000,21
MASB,--U-2105000000G111------------,3510,0,22 Feb 2022,3510,3510,3510,0,32400,113724000,4
