,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID
547,SUPR,-51.76,245,02 Jan 2019,30 Dec 2019,85088000,26100,92,
548,SURE,-1.67,245,02 Jan 2019,30 Dec 2019,305469557000,102148100,58616,
549,SWAT,-16.94,245,02 Jan 2019,30 Dec 2019,232062221400,1978008100,885725,
550,TALF,-16.05,245,02 Jan 2019,30 Dec 2019,164750600,506400,845,
551,TAMU,-90.71,245,02 Jan 2019,30 Dec 2019,3618769958900,2822596800,593431,
552,TARA,-52.27,245,02 Jan 2019,30 Dec 2019,9744319588400,12820111400,855288,
553,TAXI,-44.44,245,02 Jan 2019,30 Dec 2019,2003503900,39385100,2300,
554,TBIG,-65.83,245,02 Jan 2019,30 Dec 2019,8679199541500,3022051100,547712,
555,TBLA,15.03,245,02 Jan 2019,30 Dec 2019,783966743500,864860600,137895,
556,TBMS,-7.78,245,02 Jan 2019,30 Dec 2019,3167901000,3975800,1037,
557,TCID,-36.23,245,02 Jan 2019,30 Dec 2019,4858235000,379400,682,
558,TCPI,-25.77,245,02 Jan 2019,30 Dec 2019,10165956688000,1569927200,828723,
559,TDPM,-17.53,245,02 Jan 2019,30 Dec 2019,1323527983700,4587840800,114142,
560,TELE,-68.09,245,02 Jan 2019,30 Dec 2019,1283485895900,3813662900,296038,
561,TFCO,-28.72,245,02 Jan 2019,30 Dec 2019,285941700,457900,823,
562,TGKA,44.78,245,02 Jan 2019,30 Dec 2019,1058232000,251700,385,
563,TGRA,-82.5,245,02 Jan 2019,30 Dec 2019,6577744103400,8410016200,127312,
564,TIFA,51.9,245,02 Jan 2019,30 Dec 2019,3923804100,20139900,3684,
565,TINS,9.27,245,02 Jan 2019,30 Dec 2019,11203560850000,9663491100,792390,
566,TIRA,15.74,245,02 Jan 2019,30 Dec 2019,977999000,3798800,3671,
567,TIRT,-14.52,245,02 Jan 2019,30 Dec 2019,2313502600,32940300,11259,
568,TKIM,-7.43,245,02 Jan 2019,30 Dec 2019,5531023835000,499492300,538947,
569,TLKM,5.87,245,02 Jan 2019,30 Dec 2019,82977109080000,20656298500,1956086,
570,TMAS,-87.25,245,02 Jan 2019,30 Dec 2019,211759446000,1405927300,107407,
571,TMPI,0.0,211,02 Jan 2019,08 Nov 2019,0,0,0,
572,TMPO,-7.78,245,02 Jan 2019,30 Dec 2019,463221100,2521700,2623,
573,TNCA,39.0,245,02 Jan 2019,30 Dec 2019,85773869400,250502100,30895,
574,TOBA,-77.9,245,02 Jan 2019,30 Dec 2019,3392396700,6169200,1945,
575,TOPS,-67.47,245,02 Jan 2019,30 Dec 2019,1581028335000,2566228400,142944,
576,TOTL,-22.14,245,02 Jan 2019,30 Dec 2019,125229199600,245515100,43573,
577,TOTO,-16.09,245,02 Jan 2019,30 Dec 2019,16552167800,46012000,8726,
578,TOWR,16.67,245,02 Jan 2019,30 Dec 2019,5182051814000,7180584800,625630,
579,TPIA,75.11,245,02 Jan 2019,30 Dec 2019,9617871469000,1312153100,313400,
580,TPMA,2.42,245,02 Jan 2019,30 Dec 2019,1264636400,4508800,1591,
581,TRAM,-70.59,245,02 Jan 2019,30 Dec 2019,26571468759800,221311412100,748060,
582,TRIL,0.0,245,02 Jan 2019,30 Dec 2019,3333388700,64912200,3905,
583,TRIM,18.55,245,02 Jan 2019,30 Dec 2019,19730940700,128989700,1715,
584,TRIO,80.51,245,02 Jan 2019,30 Dec 2019,11475136000,77831200,10811,
