No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
103,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--M-185FL7000081--------------,1170,0,10 Nov 2020,0,1235,1190,1230,60,30801800,37370301000,3680,205.0,1230,173800,1225,276800,9740399289,9599328254,9740399289,654400,2461500,379941,432099360,5
104,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,--M-185557000081--------------,590,0,10 Nov 2020,0,605,595,605,15,31733600,19060562000,5312,140.7,605,263000,600,3966600,14865343101,14865343101,14865343101,4892800,5849400,52,31200,1
105,BKDP,Bukit Darmo Property Tbk,--U-213000000061--------------,51,0,10 Nov 2020,0,51,50,51,0,193200,9661000,29,42.5,51,40800,50,25500,7513992252,7513992252,7513992252,0,0,0,0,0
106,BKSL,Sentul City Tbk.,--U-113540000061--------------,50,0,10 Nov 2020,0,50,50,50,0,1965200,98260000,63,3.5,50,309077000,0,0,67083561082,67083561082,67083561082,0,1010000,180800,8136000,1
107,BKSW,Bank QNB Indonesia Tbk.,--U-210500000081--------------,122,0,10 Nov 2020,0,122,118,120,-2,550900,65576000,42,275.4,120,25000,119,2400,20232319124,20232319124,20232319124,0,0,0,0,0
108,BLTA,Berlian Laju Tanker Tbk,--U-113500000074--------------,50,0,10 Nov 2020,0,50,50,50,0,100,5000,1,0.7,50,156107700,0,0,25940187103,25940187103,25940187103,0,0,433000,21650000,1
109,BLTZ,Graha Layar Prima Tbk.,--U-213500000095--------------,3120,0,10 Nov 2020,0,3120,3120,3120,0,100,312000,1,208.0,3700,100,3120,400,873937142,873937142,873937142,0,0,0,0,0
110,BLUE,Berkah Prima Perkasa Tbk.,--U-213000000091--------------,670,0,10 Nov 2020,0,695,675,685,15,157700,107712000,116,526.9,690,4300,685,9300,418000000,418000000,418000000,0,0,0,0,0
111,BMAS,Bank Maspion Indonesia Tbk.,--U-210500000081--------------,288,0,10 Nov 2020,0,288,282,282,-6,1400,398400,7,88.1,282,2000,278,800,4399026922,4399026922,4399026922,0,0,0,0,0
112,BMRI,Bank Mandiri (Persero) Tbk.,--MO1UQSP3000081--------------,6150,6400,10 Nov 2020,6375,6525,6300,6375,225,124794400,797296660000,16924,1921.0,6375,79300,6350,399700,46199999998,46199999998,46199999998,55483800,81140800,27500600,177958810000,3
113,BMSR,Bintang Mitra Semestaraya Tbk,--U-113000000091--------------,68,0,10 Nov 2020,0,72,64,69,1,3503500,239718500,246,13.8,69,61100,68,100,1159200024,1159200024,1159200024,0,0,0,0,0
114,BMTR,Global Mediacom Tbk.,--M-183FF1000098--B-----------,236,0,10 Nov 2020,0,242,236,238,2,156453900,37329935000,5649,193.7,238,3790400,236,15800400,16583997586,16583997586,16583997586,9389300,16679000,38,9120,1
115,BNBA,Bank Bumi Arta Tbk.,--U-110000000081--------------,366,0,10 Nov 2020,0,398,366,378,12,200200,73947000,46,236.3,378,32200,366,10000,2286900000,2286900000,2286900000,30000,0,0,0,0
116,BNBR,Bakrie & Brothers Tbk,--U-210500000098--------------,50,0,10 Nov 2020,0,50,50,50,0,20600,1030000,6,0.2,50,122459100,0,0,20863053480,20863053480,20863053480,0,0,50000,500000,1
117,BNGA,Bank CIMB Niaga Tbk.,--M-115Q00000081--------------,790,0,10 Nov 2020,0,810,790,805,15,10685800,8547920000,1068,5.9,810,880600,805,428900,24880290775,24880290775,24880290775,2738000,218600,5083742,4047442335,3
118,BNII,Bank Maybank Indonesia Tbk.,--U-110F00000081--------------,228,0,10 Nov 2020,0,236,228,232,4,8148800,1889569400,1308,2.8,234,228300,232,408200,75357433911,75357433911,75357433911,1600,0,0,0,0
